sentence,label
"Hi, this is Michael Niren, immigration lawyer and founder of VisaPlace.com.",-1
"The Cake Boss, Buddy Valastro, has allegedly been charged with a DUI.",1
"Now why this is interesting from an immigration perspective, is that if he's in fact convicted, he may be prevented from entering Canada.",-2
"Not to say that he wants to come to Canada, but if he ever does, he would have a criminal record, and the Canadian authorities, the border authorities, the CBSA they're called, Canadian Border Service Agency, officers could potentially deny him from entering Canada, and he may have to apply for a special permit called the temporary resident permit, or TRP, to be admitted.",-1
"So the consequences of being convicted of an offense are not just that you would have a criminal record in your own country, but if you want to cross borders and come to Canada, you may be prevented from doing so.",2
Hi,1
My Roger and I want to tell you about a movie called Body Double,0
"Now this is a Brian De Palma movie that came out back in nineteen eighty four and I will tell you back in the eighties when I first saw this movie, I thought it was a pretty good movie",0
"(umm) It had it as a mystery, intrigue, (umm) you know, very, very, kind of (uhh) (stutter) drama type (uhh) you know investigative type movie and (umm) you know and back then I really enjoyed it",1
I thought it was a good movie about a guy who was house sitting and actually seeing somebody get murdered and all of the sudden she's there,2
So they try to figure out how this happened,2
"(umm) But you know, getting this movie a couple years ago because I saw it on the shelf and looked at it and I said, you know, it's kind of, it's it's (stutter) just not up to par with today's type of movies",3
"(umm) There's a little bit hocky (umm) looking at it now the special effects were were (stutter) terrible, I mean they weren't that good at all and the story wasn't as deep as I thought it originally was",0
"So, you know, I'll take it, if you, if you (stutter) want to go back down through memory lane to see movies that were done back in the eighties, this is obviously an eighties type movie",-2
"(umm) It's not up to par with anything on today's standards and I'll tell you, I saw it again and I just I just (stutter) didn't enjoy it like I would of some of movies that, you know, that some of the other older movies so, but anyways it's called Body Double, it's rated R because its got some sexual scenes in it and some cussing in it things like this language (umm) and and (stutter) some nudity, you know and, and back in the eighties, I guess, you know when you look at the, the (stutter) (uhh) {laughter} the selection you had, this was a pretty good movie but in today's today's (stutter) standards, today's world, it really was a kinda a hocky eighties movie so I don't really recommend you go and get it or go and watch it again, there's probably some other movies that you probably rather watch instead of that",-2
"But anyways, it's called Body Double and (umm) it's got it's a Brian De Palma movie",1
Ok,-2
Hi,0
My name's Jennifer and today I'm going to talk to you about How to Lose a Guy in Ten Days,0
Now this movie stars Kate Hudson and Mathew McConaughey and it is made by Paramount Pictures,0
It is an absolutely brilliant movie,0
This is my favorite romantic comedy of all time,3
"I love Kate Hudson, Mathew McConaughey together",2
"There's sparks flying in this movie, they're just so good together",2
(umm) You can really see the interaction between them,0
And basically Kate works for a magazine and she writes a column how to something in ten days,2
So what she chose to do was how to lose a guy in ten days and Mathew McConaughey wants to get a contract (umm) for the diamond market and to do so he has to make a woman fall in love with him in ten days,0
So the two just happen to meet and (umm) they're paired up together and she's trying to drive him away and he's trying to woo her over,3
So it's just a battle of who can win,3
Can she lose him or can he make her fall in love with him? It's just very funny the way Kate Hudson just dominates (umm) being the woman of the relationship,2
At first she's just so great and then she does everything she knows guys hate,2
"It's so great, cause everyone knows the classic cliches",2
(umm) Calling twenty times a day or talking baby talk or just putting stuffed animals all over his apartment,0
"Things like that, and she's so great",0
I'm going to be reviewing the movie Hamburger Hill,0
"This movie's about a (uhh) unit of American soldiers during the Vietnam war who have to defend this actually, no they have to attack this hill and (uhh) try to remove the (uhh) North Vietnamese from there",1
"It's (uhh) it's a pretty sad movie, since (uhh) some people who you weren't expecting to die do in fact die",-1
The (uhh) only thing about this movie is there's (uhh) some better Vietnam movies out there and with better casts,-1
"This cast is (uhh) the most notable person on here is probably Don Cheadle or that guy from practice, I don't remember his name",-1
Hey guys Peter Leeds here.,2
People have been asking me what tactics I use when trading stocks so ill give them to you now but keep in mind this is not trading advice its just simply what I do and if you wanna learn more swing over to the blog at peterleeds.com we have more details there.,1
"I cut my loses early, I let my gains run.",1
"I always observe position sizing, I don't average down but I average up.",-2
Its also very important what I try to observe is that you make your money when you buy the stock not when you sell the stock.,1
Its so much more important to get it at a good buy price than it is to get a good sell price.,1
I completely ignore previous prices.,1
Many investors will look at a stock and say its down half of the value it used to be at or its at a fraction of the value and they wrongly believe that that means that's a good investment or its cheap.,0
"The way it works is that the shares are gonna act the way they are gonna act based on the things hat happen in the future not what happened in the past, a stock has no memory.",-1
So this is a movie review on Inception starring Leonardo DiCaprio and Joseph Gordon-Levitt,0
(umm) I wasn't very excited going in to see this movie,-1
(umm) It was my friend's choice to go see this movie,1
I hadn't even seen the previews for it,2
But I wasn't going to complain,2
"And I just, I'm very glad that this is what my friends chose to see",0
It was such an amazing movie,1
"My mind was like completely blown with the, with the movie, with the twists, with everything",3
"(umm) I'm not really the biggest Leonardo DiCaprio fan but he did an amazing job and Joseph Gordon-Levitt is just an extremely (uhh) flexible actor, he's very versatile, he can play a lot of different roles",2
"(umm) Seeing him in Five Hundred Days of Summer didn't make me believe that he was going to do a good job on such serious role as this one, but I was definitely proven wrong",3
"(umm) The ending, oh the ending is just, it's crazy",1
It leaves you on the edge of your seat and kind of angers you too,0
"This movie gets you so, it makes you think, you know",0
(umm) Inception (umm) is explained in the movie to be going into somebody's dream and planting an idea in their mind that grows with them,3
And it just like changes who they are and how they feel about life and things,3
"(umm) Like I said, it was an amazing movie, (uhh) definitely a five out of five",3
Actually it was more like a ten out of five,2
"It was so good that it's, it's (stutter) a movie you have to see",1
"organizations like our voice, and basically just informing Greek gentleman of making good decisions with the influence of alcohol and making sure that we clearly define consent and that we basically hold each other accountable and don't make bad decisions",1
So our campus culture revolves a lot around education,-1
"If you walk through our, our student union━you walk through the quad, anything",-1
Hey guys,1
I'm going to do the movie called Norbit,-1
(umm) I had a chance to huh catch this movie on a prerelease screening (umm) last week,0
Thank goodness I did not pay for the movie,-3
It (uhh) stars Eddie Murphy,-3
He plays several characters in the movie,-1
"(umm) He plays the main character and he plays (umm) a big a big obese woman in the character as well and you know, it's about him trying to win his true love, trying to impress this woman",-2
Which is not that obese (stutter) obese woman in the movie that he also plays but that's another another actress who portrays his true love in the movie,0
"I mean after watching (umm) The nutty Professor or Doctor Dolittle (umm) those (stutter) movie were tolerable, but this movie was was (stutter) just out of the park",-2
"When I was watching this movie throughout throughout (stutter) in a in a (stutter) movie in the theater, I was just going what the heck am I doing here? (umm) I mean, the only thing I was impressed with the movie movie (stutter) was (umm) the fact that he he (stutter) played several different characters (umm) at the same time in the movie",0
(uhh) That was the only thing that I was (uhh) (uhh) you know impressed with,0
"Other than that the acting was (uhh) really really less than mediocre and the story line is so cliche and you know, so over done",1
I mean what happened to Eddie Murphy's (umm) career? I mean this is how low he's gonna go? How low can he sink any further? I hope he will get better roles (umm) than this movie,-1
"(umm) This movie I mean, if you don't have to pay for the the (stutter) movie ticket for this (uhh) Norbit, I recommend it",-3
"(umm) If not, don't catch it at all",-2
This is a review for the movie AntiTrust,0
"(umm) The main actors in it are Ryan Phillippe, Rachael Leigh Cook, Claire Foriani, Forlani and Tim Robbins",-1
"(umm) If I was a professional reviewer and I had to give this movie (uhh) you know a star rating, it would probably be like two out of five",2
"(uhh) That being said it's still sort of a fun, (uhh) enjoyable movie to watch if you're not terribly concerned with, you know, genius level filmmaking",-1
"(umm) It's just, (uhh) sort of a fun movie",-1
"It kind of takes place where the main character's sort of, invited to work for (uhh) a Microsoft-like company, and (uhh) things are all sort of going on (uhh) in the company and he discovers it all, and it's sort of like, what happens from there",2
"(umm) You know (stutter) it's a, it's a (stutter) solid movie",1
"It's rated PG thirteen, (uhh) so pretty much anyone can watch it",0
"(umm) It's only about, just slightly under two hours long",1
I think about an hour and forty-eight minutes,1
"(uhh) But, you know, it's a solid movie that's sort of fun",0
I wouldn't try to impress anyone with it,0
"&gt;&gt; Hi, good evening, this is Ambuj Chaturvedi.",2
"To answer the question whether India can become a superpower or not, the obvious answer is yes, because eventually we will arrive at that spot.",1
"We -- the transformation process is starting, has begun since '91, so India is not looking back.",-1
Now the second part of the question would be what does it take to be a superpower and when can become a superpower?,1
So what is the definition of a superpower?,1
"Nuclear weapons, good roads, good railways, good infrastructure, good power, good power facilities, zero power cuts, women's education, equal rights.",0
"India will arrive at all those -- India will arrive at all those avenues, all those milestones will be achieved.",0
"As many times only a small amount of people actually possesses this knowledge, sharing it will hold a large advantage for your company",1
"This will result in greater cooperation among your employees, a better working environment and reduce time to complete tasks and activities",2
And are there any more advantages,0
"Yes, Victor, there are many",0
Knowledge markets will allow you to resolve problems by using the knowledge of your staff,1
Furthermore you will depend less on external sources of knowledge,0
Also employees will realize that they are working or looking for information on the same topics,0
"This may lead to the creation communities, which is a great tool for the facilitation of exchange of knowledge within groups",1
"You convinced me Paula, but how can I organize such a knowledge market",0
The movie I will be reviewing for you right now is Final Cut starring Robin Williams,0
The idea of this film is very very interesting,3
"The whole main tag of this is basically in the end, he sees everything",2
"See, in the near future, they have people that run a machine called the guillotine",2
"What it does is that after you die, it takes all of your memories that were downloaded on a chip that was implanted in your brain",1
And what it does is it allows them to make little snippets for your funeral,-1
Little (uhh) home movies if you will,0
Just a reel of movies to show at your funeral,-2
"Now, this man sees atrocities",2
"All sources of evil off people throughout his adventures of, well not really adventures but throughout his career of going through everyone's memories and editing them for their family's consumption at the funeral",0
"Now as I said, that's a very good premise",0
That probably have you captured right now like I wanna see Final Cut right now,0
"It is a good idea, it's executed well to a point",0
I mean it takes Robin Williams and shows how he's going slowly descend into this abyss of the things I've seen and it just ropes him into a conspiracy,-3
He's seen the memories of the wrong person and how now people are after him for what he knows,1
"But just the way they ended the movie was so terrible that, {sigh} it's not even worth seeing the whole thing because it just, it just lifts you up to a point where you're just like, this is great",0
This is the kind of movie that makes you think about how things could end up,-1
How people would be in the future,0
What people would do after they die and kinda live forever you know,0
Like they have their memories on their chip and now people would just be like well this is what he was like and this is what he did,0
"But unfortunately, the ending of this movie is too horrible and too disappointing to say this is a good movie",1
"Hello, I'm here to tell you about this crazy movie Sasquatch Mountain",-1
This was just released recently,0
It was made for Sci-Fi,-2
(uhh) This movie pretty much reeked,0
(uhh) It has the typical Sci-Fi story line where they're out in the woods and there's monsters killing them one by one and you know,-3
The typical Sci-Fi channel movie,-2
(umm) This movie was just pretty corny,-1
"The graphics are bad and everything, the acting",-2
I think there's maybe one or two good actors in this movie that are in some other popular movies,-3
But this movie really stunk and it's not really that entertaining,1
"I don't really recommend you watch it, but if you wanna make fun of it then I'd watch it",-3
"This is a review of the most recent movie that I've seen, and (umm) it was Harry Potter and I saw it on, well, I saw the midnight premiere, so it was Friday the twenty-third of July",1
June,0
June,2
And (umm) so this is my ticket,2
Harry Potter,3
"It says Friday the twenty-second because I saw the type of thing where you see the first part of (umm) Harry Potter seven, and then right after you see the (stutter) second part",3
"So the first part started at eight forty, and (umm) I really liked that because it",3
(umm) Lets you refresh the memory (umm) of what happened in the first part of the movie,3
But I don't think they're having that any more,2
But I really do I really did like the movie,0
"They did a really, really great special effects",0
"(umm) I loved the fight scenes, usually I'm not a huge fight scene fan in movies, but it was really great and had you sitting on the edge of your seat, so I really did like that",0
"(umm) The special effects was great, everything looked so realistic",0
"The acting was great, they really come into their characters",3
"(umm) And I really my favorite part of the movie is at the end, when it has the (umm) shot into the future of what Harry, Ron and Hermione are going to be like in the future",0
"Really, really loved that part",0
So I really recommend this movie,3
"Hello, I'me here today to talk about Conan The Barbarian",1
This is the latest Conan The Barbarian,0
"(uhh) Little background, I am a fan of the original Conan The Barbarian movies with Arnold Schwarzenegger (uhh) But I'm more of a fan of the comic book Conan",2
That's why I went to see this movie,0
(umm) I kinda knew that it wasn't gonna be the greatest movie in the world when I went to see it because the reviews weren't that great and it's not really doing that great at the box office,-2
"But I have heard that it's closer to the comic book in the way that it was originally intended to be when it was written, and by that I mean it's a lot more animistic",0
A lot more goriness and a lot more hacking and slashing than your typical sword and sorcery movie,0
(uhh) But where this fell short was on (uhh) several points,-1
"(uhh) First of all, the acting wasn't that great",2
"Well (uhh) I guess the acting was okay, but the dialogue they were given was not really anything that someone could work with",2
I thought Jason Momoa did as good as could be expected and I thought it's actually a fairly convincing Conan in looks and actions,1
"And the supporting cast was all big names, but none of em had any roles",0
"(uhh) You know, Rose McGowan, Rachel Nichols (uhh) Ron Pearlman, they all had little small parts and (uhh) even the ones that had bigger parts, like Rachel Nichols, didn't really add anything to the movie",2
(umm) Basically what we get is tons of hacking and slashing,0
"(uhh) If you try to count how many limbs are lobbed off in this movie even if you limit it to limbs that were lobbed off by the ax, you're still gonna lose count somewhere around ten thousand",-2
"I mean this movie is just incredibly (uhh) gory and violent and while it is truer to the comics, (uhh) the comics did have plot lines and story lines and this movie, sadly, is just a convoluted mess of a plot line",-2
So I will say that Jason Momoa did a fairly good job being Conan and looking like Conan,-2
"Adobe Photoshop is a registered trademark of Adobe Systems, Incorporated.",0
I am in no way affiliated with Adobe.,1
Hey everybody,1
"My name is Jordan and (uhh) today I will be reviewing the DVD, the Divine Secrets of the Ya-Ya Sisterhood now wait a second, now wait a second, I know the guys are just, like what in the world, I seen a lot of movies, (umm) I'm willing to watch a movie once for sure I mean anytime, I'm gonna watch a movie",1
"(umm) But, and I always give it the best, you know, benefit of the doubt and like I'm going to sit down and watch this movie I'm going to enjoy it you know",-1
"If I don't like it, I don't like it, I don't have to watch it again, if I like it, I'll watch it again",-1
Well this is one I will probably not watch again,1
"(umm) Guys, nobody, you really wouldn't care about this",1
I really don't think guys will really care about this movie at all,-1
"Girls, if you're looking for a birthday present to get your boyfriend or something like that, you would probably want to mark this off your list definitely and (uhh) guys but guys if if (stutter) you're looking for a good movie to give your girlfriend and that's not that expensive, then this will definitely be a good one",-2
"(umm) The movie itself, it's it's (stutter) geared, you know, not for guys, it's not action packed or anything like that, (umm) it's not really that interesting, it's just a lot drama stuff, I mean, I just, I just (stutter) didn't like it at all",-1
"(umm) Special features, I mean, they have (uhh) commentary, stuff like that but, I mean, I wasn't even interested in watching them because, I mean, who would really want to watch commentary on something that they didn't like in the first place",-2
"So (umm) so yes so, guys, this would be a good movie for your girlfriend just make sure she knows, that you know, you're not gonna watch it with her except for one time",-1
"(umm) Girls, don't get this for your guy friends, they they (stutter) won't like it",-2
"(umm) Yes but so, so (stutter) guys get it for your girlfriends and girls get it for yourself but, anything other than that, you probably wanna skip over it",-2
"Hello, I'm Matthew, and I'm here to tell you about this DVD and it's called Ultraviolet",0
"(umm) This is a science-fiction movie made by the same director of the movie Equilibrium, which was an excellent movie",2
"I had high expectations, (umm) because this was, like I said, from the same director of Equilibrium and I was very disappointed",-3
"(umm) It's a sci-fi movie but it's very confusing, very choppy, (umm) it's kind of corny too",-3
And it stars the same girl that was in (umm) The Fifth Element and Resident Evil,1
(umm) The only redeeming thing about this movie is probably the actress that's in it,-2
"(umm) She wears very little clothing and that's probably the only redeeming quality, is seeing her run around in (umm) belly shirts",-1
But this is a horrible movie,-3
Hey my name's Scott and today I'm doing a review on a DVD that I probably should've rented before I went out and bought it,-2
"(umm) Heard a lot of good reviews about it and a lot of people seem to love this movie, but (umm) when I actually went out and bought the DVD and watched it, I was really disappointed",-2
(umm) I just really didn't like the movie too much,1
"(umm) I know a lot of people loved it and a lot of people think I'm crazy for not enjoying it, but it just wasn't my kind of film",2
(uhh) The storyline just kind of seemed to drag until it finally got into some action,-2
"But (umm) this is, (uhh) it has, it has (stutter) a decent amount of special features on it",-2
"all different audios, in (uhh) Mandarin, (uhh) English, French, has subtitles in English and French, (uhh) it has the ""Making of"" special, a widescreen presentation, a conversation with Michelle Yeoh featurette, a photo montage, link to website, filmographies, animated menus, production notes, and (uhh) scene selections",-1
"So, (umm) it's been compared to like The Matrix in ways like that, with sword-fighting and things like that",1
(umm) Just wasn't really my kind of film,0
"(umm) But, you know, you might want to give it a try",0
Might say to rent it before you buy the DVD though,-2
"(uhh) But if you did like it and you don't have the DVD, definitely pick it up because it does have a lot of good special features",1
Right here with me today I have the (umm) little heard of DVD called From Justin to Kelly,1
(umm) This is actually a musical which came out (umm) a few years ago so (umm) of course it's not as a famous anymore,0
(umm) It's got America's favorite (umm) (stutter) people from the American Idol show (umm) Kelly Clarkson and Justin (uhh) Guarini,0
(umm) So that's of course the two (stutter) major (umm) stars in this show,0
(umm) Because these are great (umm) two very talented singers of course this has got to be a musical,1
It's about (umm) a few people going with their friends to Miami for spring break and then they (uhh) meet up,0
"It's got a lot of music, its got a lot dancing and (uhh) basically the fun never stops in the sun",2
"So (umm) I wouldn't really recommend getting this because it's (uhh) there's a reason it wasn't, it didn't get (umm) such good (uhh) ratings because it's actually quite (stutter) a boring (uhh) plot",-2
"There's not much of a plot to it, it's just (uhh) people dancing and singing on the beach and (umm) that's about it",-2
"So if you're looking for something with a good plot (umm) I wouldn't suggest this, but maybe if you're looking for something like a sing along type I would suggest this because (uhh) the (umm) the the (stutter) subtitles actually (umm) the captions and everything actually show up as they're saying the words so it's almost like a sing along kind of movie",0
"Hello Rebel, and welcome back to my life",2
"I did get a haircut, thanks for noticing",1
"No, but clearly, something is different on my face",1
,1
I’m growing my beard back,1
"Turns out I thought my wife really liked the goatee, but we had a conversation a couple of weeks back, and I was like, “I’m glad you like the goatee better, because I find it very fetching,” and she kind of went silent for a really long time",2
"Like, so long I wondered if there was a short-circuit between my brain and my mouth and I had accidentally complimented the good looks of another woman, instead of, like, my own facial hair",1
"But yeah, she said she likes the full beard better, and I like it, too, so it’s coming back",-2
Also I got glasses,-1
"Yeeeah, this is still a LITTLE weird, I’m not entirely used to it",1
"Like, I keep reaching up to adjust my glasses when they slide down my nose, and every time I’m like, “Oh my god, I'm adjusting my GLASSES",0
"” So when we moved up here in August, I was driving a truck for three days straight, and I noticed that when I was driving at night, the headlights and tail lights of the other cars were getting a little bit blurry",3
"It wasn’t anything crazy, but it was definitely a higher level of blur than I had previously experienced in my life, which was, like … none",2
"So the day after my birthday I finally went to the optometrist and found out that I have a mild astigmatism, which makes long-distance vision a little bit blurry, especially at night",1
"The optometrist said I only really HAVE to wear them when I'm driving at night, but when I put them on, everything became so much clearer that I just … wear them all the time now",1
"The first day I got my glasses, I was a little bit down",1
"I’ve always had perfect vision, and so it felt in a sense like I was “losing” that",2
"But both of my parents had glasses since before I was born, so this is not some, like, huge surprise out of nowhere",-1
It was pretty much inevitable,1
"And after that first day, once I’d gotten used to wearing them, I found out that I actually really like how they look",2
"I mean, for one thing, if you tell people you’re a writer, I feel like they’re a lot more likely to take you seriously if you DO have glasses than if you DON’T",2
"But also, I feel—and I know this sounds kind of stupid—but I feel like the glasses complete my face in this weird way",2
"Like I’ve never really hated the way I look, but I’ve never thought I was super good-looking either",-2
"And the glasses have definitely caused an improvement in my concept of my own self-image, whatever that’s worth",1
I don’t know that I chose the best possible frames,0
I might upgrade those at some point,2
"And I definitely need to get non-glare lenses, since as you can see, they have a tendency to reflect the lights I use to make my videos",2
"But overall, yeah, I like myself better with glasses than without them",1
"There is one other aspect of this whole thing, though, which is less than completely ideal",1
And that’s that … it DOES make me feel a little old,-1
"No, glasses are not exclusive to old people",-1
A lot of kids wear glasses from a very young age,2
"My son Luke is getting his eyes checked in April because we’ve known for a long time that he will almost DEFINITELY need glasses growing up, and he’s finally of the age where he will PROBABLY not break them",1
,3
But I wasn’t born with eyes that needed glasses,2
It happened because I got old,2
,1
"Also gonna be real weird every time I go back and watch one of my old YouTube videos, which I do every once in a while, and see myself without the glasses",2
Not probably never gonna get over that system shock,2
"The way I feel isn’t exactly a mid-life crisis, but it’s kind of akin to one",2
But it’s also made me realize that I’m pretty okay with where I am at this point in my life,3
"I’m 31, I make a living as an author, I’ve got an incredible wife and three wonderful children, we got a real nice house in a real nice town in Oregon",1
We're probably gonna be getting our own house in the not-too-distant future,3
"If that’s the situation I'm in as I move into my new bespectacled life as a middle-aged man, I’m sort of okay with it",2
"And that is all I've got for you today, Rebel",1
"You know, the Lord Jesus convicted me of having ""false fronts"", when I am out in public.",-2
"You know, we don't want to look, vulnerable, or we don't want to look like we are not busy.",0
"So when we go out in public we try to keep calm and collected, but.",-1
"IF you do not have Jesus on the FRONT of YOU, then you will not bear witness for Jesus, you will NOT testify because you are too cool, or you are too busy.",0
"I see a lot of people going around with a ""false front"", they pretend that they are SO busy with their cell phones, that they are too busy to talk.",1
"Or they are too ""cool"". If you watch them they act like they are WAY to cool to talk to anyone.",-2
But these things will HINDER YOU if you are trying to live for Jesus.,-2
,-1
Tammy and Eric were faced with an agonizing decision,-1
We said we could deliver at that point,0
"Her survivability was quoted, basically, at 0%",1
"The other option was to try to get her to 27 weeks, and then deliver her with a survivability-- probably still under the 5% number",0
"Tammy was put on bed rest, every other day she went to the hospital to see if the baby was still alive",0
,-2
"TAMMY: I remember every day, sitting in the car before we would walk into the clinic",-1
"It was-- you take a big, deep breath, and you prepare yourself that there's not going to be a heartbeat today",-1
"And every time, there was a heartbeat",-1
"NARRATOR: At 27 weeks, the doctor told Tammy she had to deliver the baby immediately, or the baby would die",-3
They prepared Tammy for a c-section,-2
"One of the best ways to articulate your skills, experience, knowledge, and your overall worth in today's competitive job market is to create your personal brand",2
I feel that a personal brand is obligatory and it helps you stand out in the crowd,1
"According to the management expert and author Tom Peters, we are CEOs of our own companies, Me Inc",0
"To be in business today, our most important job is to be the head marketer of our own personal brands",0
This is the first of a 2-part video on personal branding,0
"In this video, I will share 7 pointers on personal branding to get you started",0
"First, determine your unique value proposition",1
Spend some time thinking about what makes you different from your peers,0
"Identify your strengths, your passions, and your goals",1
"If you left your job today, what would your company &amp; colleagues miss? Know who you are and who you are not",1
"Second, find out how others see you",1
"Ask your trusted colleagues, co-workers, and friends for four or five adjectives they would use to describe you",0
Try to find out what are you good at,1
"What are your strengths? In which areas do they see you as irreplaceable? Third, identify your goals",1
Where would you like to be in six months? In one year? In five years? In ten years? Defining your goals is necessary to craft a message that helps you reach them,1
"Fourth, identify your target audience",1
"Just like Starbucks knows that their target audience is coffee drinkers, you need to define to whom you want to send your message",1
"This will not only help you hone your message, but, it also helps you deliver it to the right people at the right places",0
"Fifth, reorganize your priorities",1
"You are probably used to putting yourself behind your company, co-workers, and clients",1
"You still want to be loyal to those groups, but, be loyal to yourself, first",1
"Sixth, pay attention to the details",1
Everything you do ultimately contributes to your personal brand,1
"Once you have defined your brand, make sure that those little things, such as the way you dress, the way you speak, your body language, your behavior with colleagues and other stakeholders the emails you write, etc",1
are consistent with your brand message,1
"Seventh, update your CV or Resume",1
Go through your CV or Resume to determine whether it gels with your personal brand,1
"Ensure that your CV or Resume accurately defines who you are, and is in line with your short-term and long-term goals",2
"In the next video, I will share 7 more pointers on personal branding",1
"As an entrepreneur, when you start working with an investor, there are some compromises that are going to have to be made.",0
"And one way of thinking about that is when you make your first pitch to an investor, the investor starts formulating in their mind what they think this company should become, what the product should be.",0
And that may not be the same idea that you have in your head as the entrepreneur.,0
"And actually, part of picking the right investors is, is there alignment between these visions, the vision that the investor shares and the vision that the entrepreneur shares?",1
"And no matter how close those two visions are, sometimes there's going to be some differences.",1
"And as an entrepreneur, what you have to decide is when the investor's vision is slightly different, are you going to adjust?",-1
Are you going to course correct?,0
"And when you're thinking about doing that and you're thinking about those compromises, it's important to take a step back and think about it from the investor's perspective.",0
They're not in the weeds.,2
How important is your pre-trial testimony in your accident or medical malpractice case here in the state of New York?,2
You wanna learn the answer?,-1
"Come join me, I'll tell you.",1
"Hi, I'm Gerry Oginski; I'm a New York medical malpractice and personal injury trial attorney practicing law here in the state of New York.",1
Your pre-trial testimony is critical for the purposes of testifying at trial.,0
Why is that?,2
Because it is as if you are testifying at trial even though you're at a question and answer session in your attorney's office.,2
"You might think that it's very informal because there's no judge there, there's no jury there, it's not a court room but the reality is that every question and answer that's given in that particular case is now recorded into a booklet, you are sworn to tell the truth and that testimony will then come back to haunt you if you testify in a manner that is contradictory at the time of trial.",0
"So the testimony you give during your question and answer session, also known as a deposition or an examination before trial, is critical, it is the same as if you are testifying at trial.",1
It just happens to be done in an attorney's office.,-1
SPOKESPERSON KIRBY: The U.S.,0
Government judges North Korea to have conducted a nuclear test yesterday.,0
"We’re still evaluating the North’s claims  about this test, but our initial analysis is not consistent with North Korea’s claim that this was a hydrogen bomb.",-1
"In any event, we strongly condemn this violation of UN Security Council resolutions, and again call on North Korea to abide by its international obligations and commitments.",1
We have consistently made clear that we will not accept North Korea as a nuclear-armed state.,-1
"Since last night, we’ve been in constant contact with our allies and partners in the region.",-2
"Secretary Kerry spoke today over the phone with the foreign minister of the Republic of Korea, Foreign Minister Yun.",1
It seems to me that the best brands increasingly the gap that they have with their lowest performing competitors.,1
"I learned that my mom had a right to own property, I learned that did not have to abused because she was a women",0
Those things made me angry,-1
I wanted to do something,-1
"Every time I went back, I found that my neighbours' girls were getting married, they were getting mutilated",1
"And after I graduated from here, I worked at the UN, I went back to school to get my graduate work, the constant cry of these girls was on my face",-3
I had to do something,-1
"As I went back, I started talking to the men, to the village, and mothers and I said, ""I want to give back the way I had promised you that I would come back and help you",0
What do you need,-1
"In this clip on how to audition for a Broadway play, I'm going to talk about the journey in your monologue.",1
"Not only should you have an objective, and should you know who you're talking to in your monologue, but you want to show a little bit of a character journey, so that you show the casting directors and the producers, and whoever is on that audition panel, that you're an actress who can carry a show.",2
You can go from point A to point B.,1
You are looking at Absorb Health's Grape Seed Extract.,2
Grape seed extract is a powerful and versatile antioxidant.,2
"It has been linked to improved hypertension, decreased inflammation, and increased bone density.",2
"Okay introduction speeches, we've got this bad boy written and we're ready to go but I've got to tell you something really, really important.",1
Be familiar with the person that you are talking about and what you are going to say.,0
Now I know you are thinking that you can wing this.,1
"You're going to get up there and do it, don't, make yourself some notes.",-1
My name is Susan Richmond.,2
I just recently graduated with a first class degree studying forensic science and investigative analysis.,1
The reason I chose Kingston University is probably two reasons.,1
"Firstly, I attended an open day and during that open day I got a really good impression of the university - everybody was friendly, everybody was very welcoming, the talks relating to my course were very interesting, which enabled me to make my final decision.",1
"Secondly, I live close to the University - I have a young family and it's convenient for me.",-1
"The idea of travelling long distances just does not appeal to me, particularly with family life and studies.",2
I studied forensic science and investigative analysis.,3
The course covered quite a broad range of topics.,2
"The topics kind of ranged from forensic bio-psychology to fibres, fires and firearms, forensic archaeology.",2
"I suppose these topics combined with the practical skills that we learnt, such as the crime scene to court scenarios.",-2
"Having them combined together gave me a really big insight, or a fantastic insight, into the actual course itself and into forensic science.",0
I thoroughly enjoyed my experience at Kingston University.,1
A despicable hate crime was committed this evening in Jerusalem.,0
"In Israel everyone, including the LGBT community, has the right to live in peace, And we will defend that right.",0
I welcome the Israeli religious leadership's condemnation of this terrible crime And I call on all those in positions of leadership to denounce this contemptible act.,0
"In the name of all of Israelis, I wish the wounded a full and speedy recovery.",-1
Hey everybody what's up i am doing a review of fast and the furious 7. I saw a prescreener of it last night.,1
This is the seventh installment of the series and Paul Walkers and now a lot of people were wondering what would the series was going to do with Paul Walkers death he filmed about half of the movie and he is in the movie.,-1
"I think a lot of people were wondering whether they would just not have his character in the movie, he actually is in the movie for a good portion of it and in fact you'll be watching this movie and wondering which scene are they going to off his character at and that's what i was wondering during the entire time of hte movie.",-1
Now the story continues off from where the 6th one left off we saw Dominic Teretto and Brian O'Connor Paul Walkers character defeat Owen Shaw in the sixth movie and now Owen Shaw's brother who is played by Jason Statham is back and he basically wants revenge for his brothers death.,2
The movie introduces some new characters.,2
Iggy Azalea makes a short appearance even if it is for a few seconds.,-1
We have kurt russell whose in the movie for a good portion of it.,1
"Well I'm very glad to be -- Welcome, everybody, and  thank you for --starting a moment late.",2
I apologize.,0
I'm very happy to be meeting today with Marshall Islands President Loeak and with the Samoan Prime Minister Malielegaoi  and other Pacific Island leaders.,-1
We're very happy to have all of you here.,0
"This week these leaders and other leaders from around the globe have come to New York during the UN General Assembly to discuss some of the issues of greatest challenge to everybody, life and death issues that impact millions of people around the world.",1
"Climate change is one issue that absolutely impacts millions of people around the world, and no one knows just how deeply serious and present, how now this challenge is and its impacts than the people of the vulnerable Pacific Islands.",-1
